"",".y.","n","statistic","df","p","method","Variable"
"1","Values",23,10.5489130434783,4,0.0321,"Kruskal-Wallis","Bachelor_more_Edu_Attainment"
"2","Values",23,9.74347826086955,4,0.045,"Kruskal-Wallis","Median income in the past 12 months Total"
"3","Values",23,9.53479627144976,4,0.049,"Kruskal-Wallis","$100+K_Income"
"4","Values",23,7.91500904159131,4,0.0947,"Kruskal-Wallis","South_Asian_Asian"
"5","Values",23,7.54394409937888,4,0.11,"Kruskal-Wallis","white_Race"
"6","Values",23,7.45231213872833,4,0.114,"Kruskal-Wallis","East_Asian_Asian"
"7","Values",23,6.02043847241867,4,0.198,"Kruskal-Wallis","AAPI_Race"
"8","Values",23,6.01404443230446,4,0.198,"Kruskal-Wallis","Filipino_Asian"
"9","Values",22,5.82450424929178,4,0.213,"Kruskal-Wallis","Median number of rooms"
"10","Values",21,5.2034632034632,4,0.267,"Kruskal-Wallis","Median earnings in the past 12 months Total"
"11","Values",22,4.48268251273344,4,0.345,"Kruskal-Wallis","Median gross rent as a percentage of household income"
"12","Values",22,4.32578947368421,4,0.364,"Kruskal-Wallis","Median year structure built"
"13","Values",23,4.13993362050703,4,0.387,"Kruskal-Wallis","Other_Race"
"14","Values",23,4.03883553421369,4,0.401,"Kruskal-Wallis","Southeast_Asian_Asian"
"15","Values",23,3.54006211180123,4,0.472,"Kruskal-Wallis","University_nnAve"
"16","Values",23,3.4167701863354,4,0.491,"Kruskal-Wallis","Reinforce_nnAve"
"17","Values",23,3.08398517908602,4,0.544,"Kruskal-Wallis","Other_Asian"
"18","Values",23,3.00403726708073,4,0.557,"Kruskal-Wallis","Intervene_nnAve"
"19","Values",23,2.81097267450091,4,0.59,"Kruskal-Wallis","multiracial_Race"
"20","Values",22,2.41283898305084,4,0.66,"Kruskal-Wallis","Median gross rent Total"
"21","Values",23,2.37034161490683,4,0.668,"Kruskal-Wallis","Tutoring_nnAve"
"22","Values",23,1.87329192546584,4,0.759,"Kruskal-Wallis","Black_Race"
"23","Values",23,1.83121118012423,4,0.767,"Kruskal-Wallis","Less_$50k_Income"
"24","Values",23,1.5882070475249,4,0.811,"Kruskal-Wallis","High_School_No_Bachelor_Edu_Attainment"
"25","Values",23,1.29411764705881,4,0.862,"Kruskal-Wallis","Indigenous_Race"
"26","Values",23,0.746583850931671,4,0.945,"Kruskal-Wallis","Some_HS_or_less_Edu_Attainment"
"27","Values",23,0.631211180124225,4,0.96,"Kruskal-Wallis","Watch_nnAve"
"28","Values",23,NA,4,NA,"Kruskal-Wallis","okinwan_Asian"
